item_id,claim_index,entailment_MODEL,relevance_MODEL,model_note,provenance,codebook
B2-MH-166e026497b9,1,supported,answers,,model_prepass_not_gold,codebook_v2
B2-MH-166e026497b9,2,unsupported,answers,missing-fact: 引用块只讲应用商店垄断，没有『法律取证过程的透明度』,model_prepass_not_gold,codebook_v2
B2-MH-1a91106d425c,1,supported,answers,language-mismatch,model_prepass_not_gold,codebook_v2
B2-MH-1a91106d425c,2,supported,related,language-mismatch; wh 问句里只确认识别性限定语（决定 4）,model_prepass_not_gold,codebook_v2
B2-MH-201d810187ac,1,unsupported,answers,关系断言：11-11 那篇完全不在引用里（决定 2）,model_prepass_not_gold,codebook_v2
B1-MH-0c6d6ba18794,1,supported,answers,,model_prepass_not_gold,codebook_v2
B1-MH-0c6d6ba18794,2,supported,answers,阿拉伯世界的看法与约旦同样拒绝接收都在引用里,model_prepass_not_gold,codebook_v2
B1-MH-08b80cb8cc0f,1,supported,answers,,model_prepass_not_gold,codebook_v2
B1-MH-08b80cb8cc0f,2,unsupported,related,引用块没有『被比作金融偶像』；主语是 He，没有交付身份,model_prepass_not_gold,codebook_v2
B1-MH-08b80cb8cc0f,3,unsupported,related,引用块只有七项罪名，没有『为财富、权力与影响力』；主语是 him,model_prepass_not_gold,codebook_v2
B1-MH-0b9a8cb6d75b,1,unsupported,answers,关系断言：9-26 The Verge 那一侧完全不在引用里（决定 2）,model_prepass_not_gold,codebook_v2
B2-MH-143afd54abe2,1,supported,answers,两侧都在：7 亿美元对 4200 万美元，足以推出更有价值,model_prepass_not_gold,codebook_v2
B2-MH-1870a8ad1aba,1,supported,answers,,model_prepass_not_gold,codebook_v2
B2-MH-1870a8ad1aba,2,supported,answers,,model_prepass_not_gold,codebook_v2
B2-MH-1870a8ad1aba,3,supported,answers,,model_prepass_not_gold,codebook_v2
B2-MH-106247365877,1,supported,answers,language-mismatch,model_prepass_not_gold,codebook_v2
B1-MH-09a87ec62327,1,unsupported,answers,与证据冲突：原文说 Deft 要改变用户习惯，不是维持现状,model_prepass_not_gold,codebook_v2
B1-MH-09a87ec62327,2,partial,answers,negative-claim-unfalsifiable：引用里没有 The Verge 的内容,model_prepass_not_gold,codebook_v2
B1-MH-00ad7107c8d0,1,partial,answers,echo：『The Verge 批评其改变互联网导航』一项无据,model_prepass_not_gold,codebook_v2
B1-MH-077feb9c180a,1,supported,answers,关系断言两侧都在：两处都是首注输了返最高 1000 美元,model_prepass_not_gold,codebook_v2
B2-MH-1aff1bc11ab7,1,supported,answers,,model_prepass_not_gold,codebook_v2
B2-MH-14f83bb6b441,1,partial,answers,echo：只有『面临欺诈与共谋指控』被支持；Jane Street 与『促成交易所成功』无据,model_prepass_not_gold,codebook_v2
B2-MH-10a673817f1b,1,unsupported,answers,关系断言：11-01 The Verge 一侧完全不在引用里（决定 2）,model_prepass_not_gold,codebook_v2
B1-MH-0af0da5770fc,1,supported,answers,两篇的内容都在引用里；按决定 1，提供比较两侧算 answers,model_prepass_not_gold,codebook_v2
B1-MH-0cc6140338ed,1,supported,answers,attribution-unverifiable,model_prepass_not_gold,codebook_v2
B1-MH-0ac962ffaee1,1,partial,related,negative-claim-unfalsifiable,model_prepass_not_gold,codebook_v2
B1-MH-0ac962ffaee1,2,supported,related,attribution-unverifiable：260 亿美元那段所在的块无来源头,model_prepass_not_gold,codebook_v2
B1-MH-0ac962ffaee1,3,partial,related,negative-claim-unfalsifiable：前半否定无法证否，后半『反垄断、不当使用出版商数据』被支持,model_prepass_not_gold,codebook_v2
B2-MH-124558122a92,1,partial,answers,negative-claim-unfalsifiable,model_prepass_not_gold,codebook_v2
B2-MH-124558122a92,2,supported,answers,标题『Mossad 重大情报失误』足以支持,model_prepass_not_gold,codebook_v2
B2-MH-1cb0b245fa4e,1,partial,answers,echo：『公众对搜索公平性的观感（The Age）』无据,model_prepass_not_gold,codebook_v2
B2-MH-11b5dbe62ed4,1,unsupported,answers,两侧引用块都只有订阅样板，推不出『不一致』（决定 2）,model_prepass_not_gold,codebook_v2
B1-MH-0175090e1c35,1,unsupported,answers,与证据冲突：两篇都讲到存在少见但严重的并发症，是一致而非不一致,model_prepass_not_gold,codebook_v2
B1-MH-0255b6d20283,1,supported,answers,,model_prepass_not_gold,codebook_v2
B1-MH-0255b6d20283,2,partial,related,negative-claim-unfalsifiable；引用里没有 The Age,model_prepass_not_gold,codebook_v2
B1-MH-0255b6d20283,3,unsupported,related,引用块没有『硅谷知名人物』的内容,model_prepass_not_gold,codebook_v2
B1-MH-0255b6d20283,4,partial,related,离职被支持；『引发对其对董事会是否诚实的猜测』无据；决定 4,model_prepass_not_gold,codebook_v2
B1-MH-060cc1d31438,1,unsupported,answers,CBS 只说传闻恋情，Independent 引用块只有样板且日期不符，推不出『不一致』,model_prepass_not_gold,codebook_v2
B2-MH-18e0906f3d85,1,supported,answers,规则 1 合取分支；来源归属无法核验不扣分,model_prepass_not_gold,codebook_v2
B2-MH-18e0906f3d85,2,unsupported,answers,证据反而点名了两种待审批药物，且没有『实现科学进展所需时间』,model_prepass_not_gold,codebook_v2
B2-MH-1723c0aeb785,1,supported,related,决定 4,model_prepass_not_gold,codebook_v2
B2-MH-1723c0aeb785,2,supported,related,决定 4,model_prepass_not_gold,codebook_v2
