item_id,round,completeness,verdict_reading,provenance
B1-MH-039d7f881e5a,R1,complete,not_applicable,v2_gpt_final_review_accept
B1-MH-050827e2c17f,R1,complete,yes,v2_gpt_final_review_accept
B1-MH-056fe59cd997,R1,complete,not_applicable,v2_gpt_final_review_accept
B1-MH-063f46090a91,R1,complete,yes,v2_gpt_final_review_accept
B1-MH-08d8e46196f4,R1,complete,not_applicable,v2_gpt_final_review_accept
B1-MH-09b478db5759,R1,complete,yes,v2_gpt_final_review_accept
B1-MH-0a05452eaee8,R1,complete,not_applicable,v2_gpt_final_review_accept
B1-MH-0a7a2c277008,R1,complete,yes,v2_gpt_final_review_accept
B1-MH-0acddcd35850,R1,complete,yes,v2_gpt_final_review_accept
B1-MH-0c18610f435a,R1,complete,yes,v2_gpt_final_review_accept
B1-MH-0cd2bbe92b19,R1,complete,yes,v2_gpt_final_review_accept
B1-MH-0d1919b11047,R1,partial,unclear,v2_gpt_final_review_accept
B1-MH-0dff3d635abc,R1,complete,yes,v2_gpt_final_review_accept
B1-MH-0e55fef39668,R1,complete,not_applicable,v2_gpt_final_review_accept
B1-MH-0ea267f4ceba,R1,complete,no,v2_gpt_final_review_accept
B2-MH-0f910380b759,R1,complete,not_applicable,v2_gpt_final_review_accept
B2-MH-10482bbfd0ca,R1,complete,not_applicable,v2_gpt_final_review_accept
B2-MH-1144d2e80b35,R1,complete,no,v2_gpt_final_review_accept
B2-MH-11d9213f77f1,R1,complete,not_applicable,v2_gpt_final_review_accept
B2-MH-12912d800c0c,R1,complete,not_applicable,v2_gpt_final_review_accept
B2-MH-1291bbe87804,R1,partial,unclear,v2_owner_rule_adjudicated
B2-MH-141809cfa779,R1,partial,unclear,v2_owner_rule_adjudicated
B2-MH-148e008e129a,R1,complete,unclear,v2_gpt_final_review_accept
B2-MH-166e026497b9,R1,complete,yes,v2_gpt_final_review_accept
B2-MH-179cc0ffdb05,R1,complete,no,v2_gpt_final_review_accept
B2-MH-19b313bbba37,R1,complete,not_applicable,v2_gpt_final_review_accept
B2-MH-19c9e32e360e,R1,complete,yes,v2_gpt_final_review_accept
B2-MH-1a91106d425c,R1,complete,not_applicable,v2_gpt_final_review_accept
B2-MH-1afa5edb190c,R1,complete,other_choice,gpt_final_review_v3_accept
B2-MH-1cc76df29d2b,R1,partial,unclear,v2_gpt_final_review_accept
B2-MH-201d810187ac,R2,complete,no,gpt_final_review_v3_accept
B1-MH-0c6d6ba18794,R2,partial,unclear,gpt_final_review_v3_accept
B1-MH-08b80cb8cc0f,R2,complete,not_applicable,gpt_final_review_v3_accept
B1-MH-0b9a8cb6d75b,R2,complete,yes,single_annotator_unreviewed
B2-MH-143afd54abe2,R2,complete,yes,gpt_final_review_v3_accept
B2-MH-1870a8ad1aba,R2,complete,not_applicable,gpt_final_review_v3_accept
B2-MH-106247365877,R2,complete,other_choice,gpt_final_review_v3_accept
B1-MH-09a87ec62327,R2,partial,unclear,gpt_final_review_v3_accept
B1-MH-00ad7107c8d0,R2,complete,not_applicable,gpt_final_review_v3_accept
B1-MH-077feb9c180a,R2,complete,yes,single_annotator_unreviewed
B2-MH-1aff1bc11ab7,R2,partial,unclear,gpt_final_review_v3_accept
B2-MH-14f83bb6b441,R2,complete,not_applicable,single_annotator_unreviewed
