item_id,completeness,verdict_reading,provenance,basis
B1-MH-039d7f881e5a,complete,not_applicable,gpt_final_review_accept,
B1-MH-050827e2c17f,complete,yes,gpt_final_review_accept,
B1-MH-056fe59cd997,complete,not_applicable,gpt_final_review_accept,
B1-MH-063f46090a91,complete,yes,gpt_final_review_accept,
B1-MH-08d8e46196f4,complete,not_applicable,gpt_final_review_accept,
B1-MH-09b478db5759,complete,yes,gpt_final_review_accept,
B1-MH-0a05452eaee8,complete,not_applicable,gpt_final_review_accept,
B1-MH-0a7a2c277008,complete,yes,gpt_final_review_accept,
B1-MH-0acddcd35850,complete,yes,gpt_final_review_accept,
B1-MH-0c18610f435a,complete,yes,gpt_final_review_accept,
B1-MH-0cd2bbe92b19,complete,yes,gpt_final_review_accept,
B1-MH-0d1919b11047,partial,unclear,gpt_final_review_accept,
B1-MH-0dff3d635abc,complete,yes,gpt_final_review_accept,
B1-MH-0e55fef39668,complete,not_applicable,gpt_final_review_accept,
B1-MH-0ea267f4ceba,complete,no,gpt_final_review_accept,
B2-MH-0f910380b759,complete,not_applicable,gpt_final_review_accept,
B2-MH-10482bbfd0ca,complete,not_applicable,gpt_final_review_accept,
B2-MH-1144d2e80b35,complete,no,gpt_final_review_accept,
B2-MH-11d9213f77f1,complete,not_applicable,gpt_final_review_accept,
B2-MH-12912d800c0c,complete,not_applicable,gpt_final_review_accept,
B2-MH-1291bbe87804,partial,unclear,owner_rule_adjudicated,verdict_reading:decision-3: 析取问句，未选定分支
B2-MH-141809cfa779,partial,unclear,owner_rule_adjudicated,completeness:decision-3: 必答项是比较本身; verdict_reading:decision-3: 未选定分支
B2-MH-148e008e129a,complete,unclear,gpt_final_review_accept,
B2-MH-166e026497b9,complete,yes,gpt_final_review_accept,
B2-MH-179cc0ffdb05,complete,no,gpt_final_review_accept,
B2-MH-19b313bbba37,complete,not_applicable,gpt_final_review_accept,
B2-MH-19c9e32e360e,complete,yes,gpt_final_review_accept,
B2-MH-1a91106d425c,complete,not_applicable,gpt_final_review_accept,
B2-MH-1afa5edb190c,complete,other_choice,gpt_final_review_accept,
B2-MH-1cc76df29d2b,partial,unclear,gpt_final_review_accept,
