item_id,claim_index,round,entailment,entailment_provenance,weight,relevance,relevance_provenance
B1-MH-0c18610f435a,1,R1,partial,gpt_final_review_v3_accept,1.0,answers,gpt_final_review_v3_blind
B1-MH-0e55fef39668,1,R1,supported,v2_gpt_final_review_accept,1.0,answers,gpt_final_review_v3_blind
B1-MH-09b478db5759,1,R1,unsupported,gpt_final_review_v3_accept,1.0,answers,gpt_final_review_v3_blind
B2-MH-179cc0ffdb05,1,R1,partial,v2_owner_rule_adjudicated,1.0,answers,gpt_final_review_v3_blind
B2-MH-179cc0ffdb05,2,R1,supported,v2_owner_rule_adjudicated,1.0,answers,gpt_final_review_v3_blind
B2-MH-12912d800c0c,1,R1,partial,v2_gpt_final_review_accept,1.0,answers,gpt_final_review_v3_blind
B2-MH-11d9213f77f1,1,R1,supported,v2_gpt_final_review_accept,1.0,answers,gpt_final_review_v3_blind
B2-MH-141809cfa779,1,R1,supported,v2_gpt_final_review_accept,1.0,related,gpt_final_review_v3_blind
B1-MH-050827e2c17f,1,R1,unsupported,v2_owner_rule_adjudicated,1.0,answers,owner_ruling_decision_1
B1-MH-050827e2c17f,2,R1,supported,v2_owner_rule_adjudicated,1.0,answers,owner_ruling_decision_1
B1-MH-039d7f881e5a,1,R1,supported,v2_gpt_final_review_accept,1.0,answers,gpt_final_review_v3_blind
B1-MH-039d7f881e5a,2,R1,unsupported,gpt_final_review_v3_accept,1.0,answers,gpt_final_review_v3_blind
B1-MH-0acddcd35850,1,R1,supported,v2_gpt_final_review_accept,1.0,related,gpt_final_review_v3_blind
B1-MH-0acddcd35850,2,R1,supported,gpt_final_review_v3_accept,1.0,answers,gpt_final_review_v3_blind
B2-MH-1291bbe87804,1,R1,supported,v2_owner_rule_adjudicated,1.0,answers,gpt_final_review_v3_blind
B2-MH-1291bbe87804,2,R1,unsupported,v2_owner_rule_adjudicated,1.0,answers,gpt_final_review_v3_blind
B2-MH-19b313bbba37,1,R1,supported,v2_gpt_final_review_accept,1.0,answers,gpt_final_review_v3_blind
B2-MH-19b313bbba37,2,R1,partial,v2_gpt_final_review_accept,1.0,answers,gpt_final_review_v3_blind
B2-MH-1afa5edb190c,1,R1,unsupported,v2_gpt_final_review_accept,1.0,related,gpt_final_review_v3_blind
B2-MH-1afa5edb190c,2,R1,supported,v2_gpt_final_review_accept,1.0,related,gpt_final_review_v3_blind
B2-MH-1afa5edb190c,3,R1,supported,v2_gpt_final_review_accept,1.0,related,gpt_final_review_v3_blind
B2-MH-1afa5edb190c,4,R1,partial,v2_gpt_final_review_accept,1.0,answers,gpt_final_review_v3_blind
B2-MH-1afa5edb190c,5,R1,unsupported,gpt_final_review_v3_accept,1.0,answers,gpt_final_review_v3_blind
B1-MH-0a7a2c277008,1,R1,supported,gpt_final_review_v3_accept,1.0,answers,gpt_final_review_v3_blind
B1-MH-0a7a2c277008,2,R1,unsupported,v2_owner_rule_adjudicated,1.0,answers,gpt_final_review_v3_blind
B1-MH-0a05452eaee8,1,R1,supported,v2_gpt_final_review_accept,1.0,answers,gpt_final_review_v3_blind
B1-MH-0a05452eaee8,2,R1,unsupported,v2_gpt_final_review_accept,1.0,answers,gpt_final_review_v3_blind
B1-MH-0a05452eaee8,3,R1,supported,v2_gpt_final_review_accept,1.0,answers,gpt_final_review_v3_blind
B1-MH-0cd2bbe92b19,1,R1,unsupported,v2_owner_rule_applied,1.0,answers,gpt_final_review_v3_blind
B2-MH-148e008e129a,1,R1,partial,v2_gpt_final_review_accept,1.0,answers,gpt_final_review_v3_blind
B2-MH-0f910380b759,1,R1,partial,v2_gpt_final_review_accept,1.0,answers,gpt_final_review_v3_blind
B2-MH-0f910380b759,2,R1,partial,v2_gpt_final_review_accept,1.0,answers,gpt_final_review_v3_blind
B2-MH-0f910380b759,3,R1,supported,v2_owner_rule_adjudicated,1.0,related,gpt_final_review_v3_blind
B2-MH-1144d2e80b35,1,R1,supported,gpt_final_review_v3_accept,1.0,answers,gpt_final_review_v3_blind
B1-MH-063f46090a91,1,R1,supported,gpt_final_review_v3_accept,1.0,answers,gpt_final_review_v3_blind
B1-MH-063f46090a91,2,R1,partial,gpt_final_review_v3_accept,1.0,answers,gpt_final_review_v3_blind
B1-MH-056fe59cd997,1,R1,partial,v2_gpt_final_review_override,1.0,answers,gpt_final_review_v3_blind
B1-MH-056fe59cd997,2,R1,supported,v2_gpt_final_review_accept,1.0,answers,gpt_final_review_v3_blind
B1-MH-056fe59cd997,3,R1,supported,v2_gpt_final_review_accept,1.0,answers,gpt_final_review_v3_blind
B1-MH-0ea267f4ceba,1,R1,partial,v2_gpt_final_review_accept,1.0,answers,gpt_final_review_v3_blind
B2-MH-19c9e32e360e,1,R1,supported,v2_owner_rule_adjudicated,1.0,answers,gpt_final_review_v3_blind
B2-MH-19c9e32e360e,2,R1,supported,gpt_final_review_v3_accept,1.0,answers,gpt_final_review_v3_blind
B2-MH-10482bbfd0ca,1,R1,unsupported,v2_owner_rule_adjudicated,1.0,answers,gpt_final_review_v3_blind
B2-MH-10482bbfd0ca,2,R1,unsupported,v2_gpt_final_review_accept,1.0,answers,gpt_final_review_v3_blind
B2-MH-10482bbfd0ca,3,R1,supported,v2_gpt_final_review_accept,1.0,answers,gpt_final_review_v3_blind
B2-MH-1cc76df29d2b,1,R1,unsupported,v2_gpt_final_review_accept,1.0,related,gpt_final_review_v3_blind
B2-MH-1cc76df29d2b,2,R1,unsupported,v2_gpt_final_review_accept,1.0,related,gpt_final_review_v3_blind
B1-MH-0dff3d635abc,1,R1,supported,gpt_final_review_v3_accept,1.0,answers,gpt_final_review_v3_blind
B1-MH-08d8e46196f4,1,R1,partial,v2_gpt_final_review_accept,1.0,answers,gpt_final_review_v3_blind
B1-MH-0d1919b11047,1,R1,supported,v2_gpt_final_review_accept,1.0,related,gpt_final_review_v3_blind
B2-MH-166e026497b9,1,R2,supported,model_consensus,0.0,answers,gpt_final_review_v3_blind
B2-MH-166e026497b9,2,R2,unsupported,gpt_final_review_v3_accept,1.0,answers,gpt_final_review_v3_blind
B2-MH-1a91106d425c,1,R2,supported,gpt_final_review_v3_accept,4.6,answers,gpt_final_review_v3_blind
B2-MH-1a91106d425c,2,R2,supported,gpt_final_review_v3_accept,4.6,related,gpt_final_review_v3_blind
B2-MH-201d810187ac,1,R2,unsupported,gpt_final_review_v3_accept,1.0,answers,gpt_final_review_v3_blind
B1-MH-0c6d6ba18794,1,R2,supported,model_consensus,0.0,answers,owner_rule_applied_v3_1
B1-MH-0c6d6ba18794,2,R2,partial,gpt_final_review_v3_disagreement,1.0,answers,owner_rule_applied_v3_1
B1-MH-08b80cb8cc0f,1,R2,supported,gpt_final_review_v3_accept,4.6,answers,gpt_final_review_v3_blind
B1-MH-08b80cb8cc0f,2,R2,unsupported,gpt_final_review_v3_accept,1.0,answers,gpt_final_review_v3_blind
B1-MH-08b80cb8cc0f,3,R2,unsupported,gpt_final_review_v3_accept,1.0,related,gpt_final_review_v3_blind
B1-MH-0b9a8cb6d75b,1,R2,unsupported,gpt_final_review_v3_accept,1.0,answers,gpt_final_review_v3_blind
B2-MH-143afd54abe2,1,R2,supported,model_consensus,0.0,answers,gpt_final_review_v3_blind
B2-MH-1870a8ad1aba,1,R2,supported,model_consensus,0.0,answers,gpt_final_review_v3_blind
B2-MH-1870a8ad1aba,2,R2,supported,model_consensus,0.0,answers,gpt_final_review_v3_blind
B2-MH-1870a8ad1aba,3,R2,supported,model_consensus,0.0,answers,gpt_final_review_v3_blind
B2-MH-106247365877,1,R2,supported,model_consensus,0.0,answers,gpt_final_review_v3_blind
B1-MH-09a87ec62327,1,R2,unsupported,gpt_final_review_v3_disagreement,1.0,answers,gpt_final_review_v3_blind
B1-MH-09a87ec62327,2,R2,partial,model_consensus,0.0,answers,gpt_final_review_v3_blind
B1-MH-00ad7107c8d0,1,R2,partial,model_consensus,0.0,answers,gpt_final_review_v3_blind
B1-MH-077feb9c180a,1,R2,supported,gpt_final_review_v3_accept,1.0,answers,gpt_final_review_v3_blind
B2-MH-1aff1bc11ab7,1,R2,supported,model_consensus,0.0,answers,gpt_final_review_v3_blind
B2-MH-14f83bb6b441,1,R2,partial,model_consensus,0.0,answers,gpt_final_review_v3_blind
B2-MH-10a673817f1b,1,R2,unsupported,gpt_final_review_v3_accept,1.0,answers,gpt_final_review_v3_blind
B1-MH-0af0da5770fc,1,R2,supported,gpt_final_review_v3_accept,4.6,answers,gpt_final_review_v3_blind
B1-MH-0cc6140338ed,1,R2,supported,model_consensus,0.0,answers,gpt_final_review_v3_blind
B1-MH-0ac962ffaee1,1,R2,partial,model_consensus,0.0,related,gpt_final_review_v3_blind
B1-MH-0ac962ffaee1,2,R2,partial,gpt_final_review_v3_disagreement,1.0,related,gpt_final_review_v3_blind
B1-MH-0ac962ffaee1,3,R2,partial,model_consensus,0.0,related,gpt_final_review_v3_blind
B2-MH-124558122a92,1,R2,partial,model_consensus,0.0,answers,gpt_final_review_v3_blind
B2-MH-124558122a92,2,R2,supported,gpt_final_review_v3_accept,4.6,answers,gpt_final_review_v3_blind
B2-MH-1cb0b245fa4e,1,R2,partial,model_consensus,0.0,answers,gpt_final_review_v3_blind
B2-MH-11b5dbe62ed4,1,R2,unsupported,gpt_final_review_v3_accept,1.0,answers,gpt_final_review_v3_blind
B1-MH-0175090e1c35,1,R2,unsupported,gpt_final_review_v3_accept,1.0,answers,gpt_final_review_v3_blind
B1-MH-0255b6d20283,1,R2,supported,gpt_final_review_v3_accept,4.6,answers,gpt_final_review_v3_blind
B1-MH-0255b6d20283,2,R2,partial,gpt_final_review_v3_disagreement,1.0,answers,gpt_final_review_v3_blind
B1-MH-0255b6d20283,3,R2,unsupported,gpt_final_review_v3_accept,1.0,answers,gpt_final_review_v3_blind
B1-MH-0255b6d20283,4,R2,partial,model_consensus,0.0,answers,gpt_final_review_v3_blind
B1-MH-060cc1d31438,1,R2,unsupported,gpt_final_review_v3_accept,1.0,answers,gpt_final_review_v3_blind
B2-MH-18e0906f3d85,1,R2,supported,model_consensus,0.0,answers,gpt_final_review_v3_blind
B2-MH-18e0906f3d85,2,R2,unsupported,gpt_final_review_v3_accept,1.0,answers,gpt_final_review_v3_blind
B2-MH-1723c0aeb785,1,R2,supported,model_consensus,0.0,answers,gpt_final_review_v3_blind
B2-MH-1723c0aeb785,2,R2,supported,model_consensus,0.0,answers,gpt_final_review_v3_blind
B2-MH-1723c0aeb785,3,R2,unsupported,gpt_final_review_v3_accept,1.0,answers,gpt_final_review_v3_blind
B2-MH-1723c0aeb785,4,R2,unsupported,gpt_final_review_v3_accept,1.0,answers,gpt_final_review_v3_blind
B2-MH-17280b83d56e,1,R2,unsupported,gpt_final_review_v3_accept,1.0,answers,gpt_final_review_v3_blind
B1-MH-012f1f51ac88,1,R2,partial,gpt_final_review_v3_accept,1.0,answers,gpt_final_review_v3_blind
B1-MH-05813c2fe535,1,R2,unsupported,gpt_final_review_v3_accept,1.0,answers,gpt_final_review_v3_blind
B1-MH-05813c2fe535,2,R2,supported,gpt_final_review_v3_accept,4.6,answers,gpt_final_review_v3_blind
