item_id,claim_index,reason,label,first_says,second_says,human_decision,note
B1-MH-0255b6d20283,2,disagreement,entailment,partial,unsupported,,
B1-MH-03b7d00ee202,1,disagreement,relevance,related,answers,,
B1-MH-03b7d00ee202,2,disagreement,relevance,related,answers,,
B1-MH-03cfaa7e78c6,1,disagreement,entailment,partial,supported,,
B1-MH-05813c2fe535,1,disagreement,relevance,related,answers,,
B1-MH-05813c2fe535,2,disagreement,relevance,related,answers,,
B1-MH-05813c2fe535,3,disagreement,relevance,related,answers,,
B1-MH-05813c2fe535,4,disagreement,relevance,related,answers,,
B1-MH-08c734d4eea9,1,disagreement,relevance,related,answers,,
B1-MH-08c734d4eea9,2,disagreement,relevance,related,answers,,
B1-MH-08c734d4eea9,3,disagreement,relevance,related,answers,,
B1-MH-0952d9e73467,2,disagreement,entailment,partial,unsupported,,
B1-MH-09a87ec62327,1,disagreement,entailment,unsupported,supported,,
B1-MH-0ac962ffaee1,1,disagreement,relevance,related,answers,,
B1-MH-0ac962ffaee1,2,disagreement,entailment,supported,partial,,
B1-MH-0ac962ffaee1,2,disagreement,relevance,related,answers,,
B1-MH-0ac962ffaee1,3,disagreement,relevance,related,answers,,
B1-MH-0bee595f2413,1,disagreement,relevance,related,answers,,
B1-MH-0bee595f2413,2,disagreement,relevance,related,answers,,
B1-MH-0bee595f2413,3,disagreement,relevance,related,answers,,
B1-MH-0c6d6ba18794,2,disagreement,entailment,supported,partial,,
B2-MH-0fa911496c14,2,disagreement,relevance,related,answers,,
B2-MH-0fa911496c14,3,disagreement,relevance,related,answers,,
B2-MH-0fa911496c14,4,disagreement,relevance,related,answers,,
B2-MH-114722edd549,2,disagreement,relevance,related,answers,,
B2-MH-13ec6f42b956,1,disagreement,relevance,related,answers,,
B2-MH-13ec6f42b956,2,disagreement,relevance,related,answers,,
B2-MH-1431c0a43f40,1,disagreement,relevance,related,answers,,
B2-MH-1431c0a43f40,2,disagreement,relevance,related,answers,,
B2-MH-1431c0a43f40,3,disagreement,relevance,related,answers,,
B2-MH-1431c0a43f40,4,disagreement,entailment,unsupported,partial,,
B2-MH-1431c0a43f40,4,disagreement,relevance,related,answers,,
B2-MH-145cc8296d13,1,disagreement,entailment,unsupported,supported,,
B2-MH-1723c0aeb785,1,disagreement,relevance,related,answers,,
B2-MH-1723c0aeb785,2,disagreement,relevance,related,answers,,
B2-MH-1723c0aeb785,3,disagreement,relevance,related,answers,,
B2-MH-1723c0aeb785,4,disagreement,relevance,related,answers,,
B2-MH-189b425a1dab,1,disagreement,entailment,partial,supported,,
B2-MH-1a900e0391d7,1,disagreement,relevance,related,answers,,
B2-MH-1a900e0391d7,2,disagreement,relevance,related,answers,,
B2-MH-1a900e0391d7,3,disagreement,relevance,related,answers,,
B2-MH-1a91106d425c,2,disagreement,relevance,related,answers,,
B2-MH-1acbad14990a,1,disagreement,relevance,related,answers,,
B2-MH-1acbad14990a,2,disagreement,relevance,related,answers,,
B2-MH-1b7cdf6be5ad,1,disagreement,relevance,related,answers,,
B2-MH-1f82048d37f6,1,disagreement,entailment,partial,unsupported,,
B2-MH-2237f5effc53,1,disagreement,relevance,related,answers,,
B2-MH-2237f5effc53,2,disagreement,relevance,related,answers,,
B1-MH-0175090e1c35,1,audit_of_agreement,,,,,
B1-MH-01e320e7e25f,1,audit_of_agreement,,,,,
B1-MH-024ac868f764,1,audit_of_agreement,,,,,
