item_id,claim_index,reason,label,first_says,second_says,human_decision,note
B1-MH-050827e2c17f,1,disagreement,relevance,answers,related,,
B1-MH-050827e2c17f,2,disagreement,relevance,answers,related,,
B1-MH-063f46090a91,1,disagreement,relevance,answers,related,,
B1-MH-063f46090a91,2,disagreement,relevance,answers,related,,
B1-MH-0a7a2c277008,1,disagreement,relevance,answers,related,,
B1-MH-0a7a2c277008,2,disagreement,entailment,unsupported,partial,,
B1-MH-0a7a2c277008,2,disagreement,relevance,answers,related,,
B1-MH-0acddcd35850,2,disagreement,entailment,partial,supported,,
B2-MH-0f910380b759,3,disagreement,relevance,related,answers,,
B2-MH-10482bbfd0ca,1,disagreement,entailment,partial,unsupported,,
B2-MH-1144d2e80b35,1,disagreement,entailment,partial,supported,,
B2-MH-1291bbe87804,1,disagreement,relevance,answers,related,,
B2-MH-1291bbe87804,2,disagreement,relevance,answers,related,,
B2-MH-179cc0ffdb05,1,disagreement,relevance,answers,related,,
B2-MH-179cc0ffdb05,2,disagreement,relevance,answers,related,,
B2-MH-19c9e32e360e,1,disagreement,relevance,answers,related,,
B2-MH-19c9e32e360e,2,disagreement,relevance,answers,related,,
B2-MH-1afa5edb190c,5,disagreement,entailment,unsupported,partial,,
B1-MH-056fe59cd997,1,audit_of_agreement,,,,,
B1-MH-056fe59cd997,3,audit_of_agreement,,,,,
B1-MH-0dff3d635abc,1,audit_of_agreement,,,,,
B1-MH-0e55fef39668,1,audit_of_agreement,,,,,
B1-MH-0ea267f4ceba,1,audit_of_agreement,,,,,
B2-MH-10482bbfd0ca,2,audit_of_agreement,,,,,
B2-MH-19b313bbba37,1,audit_of_agreement,,,,,
